iter	Passed	Remaining
335	95562	46643
336	95773	46323
337	96034	46028
338	96281	45726
339	96515	45419
340	96926	45194
341	97225	44916
342	97492	44624
343	97709	44309
344	97932	43998
345	98199	43707
346	98404	43388
347	98673	43098
348	98911	42795
349	99098	42470
350	99344	42171
351	99600	41877
352	99778	41550
353	100010	41247
354	100278	40958
355	100504	40653
356	100748	40356
357	100923	40031
358	101140	39723
359	101391	39429
360	101644	39137
361	101852	38827
362	102057	38517
363	102277	38213
364	102536	37924
365	102780	37630
366	103045	37343
367	103263	37040
368	103528	36753
369	103755	36454
370	103963	36149
371	104179	35846
372	104441	35560
373	104632	35250
374	104877	34959
375	105444	34774
376	105714	34490
377	105983	34206
378	106241	33918
379	106500	33631
380	106724	33333
381	106970	33043
382	107252	32763
383	107522	32480
384	107822	32206
385	108000	31896
386	108211	31596
387	108488	31316
388	108756	31033
389	109017	30748
390	109336	30479
391	109652	30210
392	109921	29927
393	110164	29638
394	110418	29351
395	110744	29084
396	111016	28802
397	111320	28529
